word,count
啥事,110
耳机,110
吃个,110
嘴巴,110
追,110
翻,109
几分,109
回复,109
找到,109
房间,109
不下,108
麻辣,108
说好,108
没空,108
被子,108
就行,107
没关,107
下楼,107
粑,107
腿,106
祖庙,106
世界,106
项目,106
吃饱,106
洗个,106
愉快,105
帅哥,105
路,105
早就,105
顺风,105
水,105
炒,104
晚点,104
午饭,104
不去,104
🐸,103
有钱,103
坏,103
一句,103
快点,103
不见,103
我待会,103
好玩,102
瘦,102
感动,102
机会,102
电视,102
十分钟,101
砖,101
鸭,101
周六,101
小孩,101
块,101
装,101
一个月,101
不困,101
选择,101
看起,100
来说,100
终于,100
请假,100
打电话,100
太久,100
看起来,99
我来,99
路上,99
看过,99
肉,99
嘎嘎,99
没关系,98
八点,98
第一次,98
申请,98
化妆,98
聪明,97
闹钟,97
影响,97
辣,97
留,97
感冒,97
或许,97
打包,97
上头,97
起码,96
挂,96
清醒,96
看不到,96
我家,96
建议,96
川高,96
精神,95
全是,95
这件,95
懒懒,95
休假,95
15,95
p,95
车上,95
木有,95
安,95
明晚,95
丑,94
几分钟,94
快到,94
段时间,94
药,94
下车,94
太晚,94
我爱你,94
名字,93
噗,93
每次,93
那会,93
🥺,93
那家,93
找个,92
奶茶,91
评论,91
内耗,91
就算,91
吵架,91
喉咙,91
总,90
懒姐,90
撤回,90
尽量,90
泡面,90
麻将,90
组长,89
早睡,89
一家,89
在家,89
声音,89
心,89
说实话,88
阿西,88
买个,87
雷岗,87
莫名,87
跳,87
斤,87
亲,87
干哈,87
急,87
吃完饭,87
一顿,86
饱,86
补,86
没带,86
屁股,86
自然,86
情绪,86
要说,85
计划,85
原因,85
多人,85
删,85
奖励,84
期待,84
简单,84
：,84
努力,84
不止,84
女孩,83
伤心,83
同意,83
谈,83
200,83
m,83
矫情,83
走心,82
干活,82
不至于,82
条,82
不知,82
老婆,82
两次,82
见到,82
吐,82
哒,82
困了,82
老板,81
永远,81
有时候,81
游戏,81
搭,81
捞,81
对方,81
到时候,80
戴,80
门口,80
恶心,80
谈恋爱,80
印象,80
不太好,80
40,80
程度,80
一大,80
ᯤ,80
做梦,80
五分,80
棒,80
脑子,80
裤子,80
店,80
语,80
擦,80
八卦,79
莫名其妙,79
零食,79
➕,79
咬,79
核酸,79
充电,79
后续,79
换衣,79
换衣服,79
近,79
铁站,78
地铁站,78
吃晚饭,78
演唱,78
好大,78
意外,78
做饭,78
剩,78
般般,78
一般般,78
退,78
百度,78
加油,77
不定,77
贴,77
50,77
七点,77
